id,product,unit,price,detail
8504,Muttertagsherz groß,ganz,"35,00",mit Alkohol
8505,Plätzchen,100 g,"3,30",
8506,Plätzchen,200 g,"6,60",
8507,Plätzchen,350 g,"1,55",
8508,Plätzchen,700 g,"23,10",
8509,Plätzchen nach Gewicht,,,
8510,Plätzchen K2,100 g,"3,80",
8511,Butterstollen,1 kg,"16,90",
8512,Quarkstollen,ganz,"5,00",
8513,Quarkstollen,halb,"2,50",
8514,Mohnstollen,ganz,"5,00",
8515,Mohnstollen,halb,"2,50",
8516,Nußstollen,ganz,"5,00",
8517,Nußstollen,halb,"2,50",
8518,Lebkuchen,Stück,"1,80",
8519,Lebkuchen,5er Pack,"9,00",
8520,Gewürzschnitten,Stück,"2,30",
8521,Herbstschnitten,Stück,"2,60",
8522,Adventsschnitten,Stück,"2,60",
8525,Schöne Gesichter,Stück,"2,00",
8526,Sahnekrapfen,Stück,"2,70",
8527,Neujahrsbrezen,Stück,"1,60",
8528,Osterlamm,ganz,"9,80",
8529,Osterbrot,ganz,"4,95",
8530,Hasenküchle,Stück,"1,60",mit Alk. Verbacken
8531,Schneeballen,Stück,"2,30",mit Alk. Verbacken
8532,Schneeballen,2 Stück,"4,30",mit Alk. Verbacken
8533,Schneeballen,3 Stück,"6,50",mit Alk. Verbacken
8534,Schneeballen,4 Stück,"8,50",mit Alk. Verbacken
8535,Martinsweck Dinkel,Stück,"1,10",
8537,Buchteln,Stück,"1,20",
8538,Herzchen aus Hefequarkteig,Stück,"1,70",
8540,Hühnerkekse,Stück,"0,50",
8550,Minitorte 18 cm Durchmesser,ganz,"23,60",je nach Sorte mit Alkohol
8551,Minitorte 22 cm Durchmesser,ganz,"32,00",je nach Sorte mit Alkohol
8552,Tortenboden,ganz,"6,95",
8553,Tortenboden,halb,"3,50",
8554,Altbrot  1 Sack,,"3,00",
8555,Semmelbrösel,500 g,"1,30",
8556,Semmelbrösel,5 kg Eimer,"9,90",
8557,Butterportion,,"0,50",
8558,Marmelade Portion,,"0,50",
8559,Honig Portion,,"0,50",
8561,Eis 1 Kugel,,"1,00",
8562,Eis mit Waffel und Beeren,,"3,85",
8900,"Pfandrückgabe minus 0,25",,"0,25",
9001,Butter 250g,,"2,00",
9010,Konditortragetaschen,,"0,20",
9011,Hemdchentragetaschen,,"0,10",
9017,Becher leer Stück 300ml,,"0,25",
9018,Pappteller Stück,,"0,10",
9022,Mitarbeitergutschein,,"5,00",
9110,10€ Bäckerei Scheuerlein Gutschein,,"10,00",
9115,15€ Bäckerei Scheuerlein Gutschein,,"15,00",
9125,25€ Bäckerei Scheuerlein Gutschein,,"25,00",
9150,50€ Bäckerei Scheuerlein Gutschein,,"50,00",
9200,Kaffee S,,"2,00",
9201,Kaffee M,,"2,40",
9202,Kaffee L,,"3,80",
9204,Espresso einfach,,"1,80",
9205,Espresso doppelt,,"3,00",
9206,Espresso Macchiato,,"2,00",
9207,Cappu M,,"2,60",
9208,Cappu L,,"3,90",
9209,Milchkaffee M,,"2,60",
9210,Milchkaffee L,,"3,90",
9211,Latte,,"3,20",
9212,Schoki M,,"2,60",
9213,Schoki L,,"4,00",
9214,Wake up 1,,"4,10",
9215,Tee,,"2,00",
9216,Milch,,"1,50",
9217,Milchschaum,,"0,50",
9218,Sahneportion,,"0,70",
9219,Wake up 2,,"5,30",
9220,Eis kaffee,,"4,45",
9221,Eis schoki,,"4,45",
9300,Wasser,"0,5 L","1,50",
9303,Cola,"0,5 L","1,50",
9304,Cola light,"0,5 L","1,50",
9305,Spezzi,"0,5 L","1,50",
9306,Apfelschorle,"0,5 L","1,50",
9307,Capri Sonne,,"0,50",
9308,Kondesmilch,1 L,"1,40",
9310,H-Milch,1 L,"1,00",
9314,Meister Kaffe löslich,Glas,"4,79",
9315,Nudeln,250 g,"1,45",
9316,Der Noble löslich,Glas,"4,79",
9318,Filterpapier Gr. 4,Pack,"0,70",
9323,Kaffesahnefläschchen,,"0,90",
9324,Zwieback,,"1,50",
9325,Zucker 1 kg,,"1,50",
9326,"Salz jodiert, 500 g",,"1,50",
9339,Mehl 1 kg,,"1,10",
9327,Schinkenwürstchen im Glas,,"2,95",
9328,Tomatenhering,,"1,95",
9329,Brathering,,"2,95",
9331,Rekord Waffelmischung,,"2,95",
9332,Rekord Keksmischung,,"2,95",
9333,Alpenmilchschokolade,,"0,65",
9334,Zartbitterschokolade,,"0,65",
9335,Euka menthol,,"0,90",
9336,Goldbären Haribo 100 g,,"0,70",
9337,Milka schokolade,,"1,20",
9338,Nimm 2,,"1,30",
9350,Becher leer 400 ml,,"0,30",
9351,Deckel für Becher,,"0,10",










A,beste Wirtschaftlichkeit,,grün,
B,gute Wirtschaftlichkeit,,blau,
C,mittlere Wirtschaftlichkeit,,rosa,
D,wenig Wirtschaftlichkeit,,lila,

K,keine Wertung,,weiß,
